post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,tax:store,tax:product_brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:pos_product_visibility,meta:allow_best_price,meta:amazonS3_cache,meta:chosen_product_cat,meta:dokan_geo_address,meta:dokan_geo_latitude,meta:dokan_geo_longitude,meta:dokan_geo_public,meta:freight_class,meta:is_editor_choice,meta:om_disable_all_campaigns,meta:pageview,meta:post_wish_count,meta:rank_math_canonical_url,meta:rank_math_contentai_score,meta:rank_math_description,meta:rank_math_facebook_description,meta:rank_math_facebook_image,meta:rank_math_facebook_title,meta:rank_math_focus_keyword,meta:rank_math_internal_links_processed,meta:rank_math_lock_modified_date,meta:rank_math_og_content_image,meta:rank_math_primary_product_brand,meta:rank_math_primary_product_cat,meta:rank_math_primary_store,meta:rank_math_seo_score,meta:rank_math_title,meta:rank_math_twitter_description,meta:rank_math_twitter_image,meta:rank_math_twitter_title,meta:rank_math_twitter_use_facebook,meta:rehub_views,meta:rehub_views_day,meta:rehub_views_mon,meta:rehub_views_year,meta:shipperhq_dim_group,meta:shipperhq_hs_code,meta:shipperhq_shipping_group,meta:shipperhq_warehouse,meta:total_sales,meta:wc_booking_resource_label,meta:attribute_color,meta:attribute_pa_color,meta:attribute_pa_size,meta:attribute_size,"attribute:Auto Refill Option","attribute_data:Auto Refill Option","attribute_default:Auto Refill Option",attribute:Color:,attribute_data:Color:,attribute_default:Color:,attribute:Condition,attribute_data:Condition,attribute_default:Condition,"attribute:Diesel Fuel Model - Double","attribute_data:Diesel Fuel Model - Double","attribute_default:Diesel Fuel Model - Double","attribute:Diesel Fuel Model - Single","attribute_data:Diesel Fuel Model - Single","attribute_default:Diesel Fuel Model - Single","attribute:Dual Fuel - Gasoline & Diesel","attribute_data:Dual Fuel - Gasoline & Diesel","attribute_default:Dual Fuel - Gasoline & Diesel","attribute:Gasoline Model - Double","attribute_data:Gasoline Model - Double","attribute_default:Gasoline Model - Double","attribute:Gasoline Model - Single","attribute_data:Gasoline Model - Single","attribute_default:Gasoline Model - Single","attribute:Hazmat + Fee","attribute_data:Hazmat + Fee","attribute_default:Hazmat + Fee","attribute:Manual Refill Option","attribute_data:Manual Refill Option","attribute_default:Manual Refill Option",attribute:Size,attribute_data:Size,attribute_default:Size,attribute:Title,attribute_data:Title,attribute_default:Title,attribute:pa_bincolor,attribute_data:pa_bincolor,attribute_default:pa_bincolor,attribute:pa_cabinetcolor,attribute_data:pa_cabinetcolor,attribute_default:pa_cabinetcolor,attribute:pa_color,attribute_data:pa_color,attribute_default:pa_color,attribute:pa_diesel-hose-reels,attribute_data:pa_diesel-hose-reels,attribute_default:pa_diesel-hose-reels,attribute:pa_diesel-pumps,attribute_data:pa_diesel-pumps,attribute_default:pa_diesel-pumps,attribute:pa_gas-hose-reels,attribute_data:pa_gas-hose-reels,attribute_default:pa_gas-hose-reels,attribute:pa_gas-pumps,attribute_data:pa_gas-pumps,attribute_default:pa_gas-pumps,attribute:pa_quantity,attribute_data:pa_quantity,attribute_default:pa_quantity,attribute:pa_scent,attribute_data:pa_scent,attribute_default:pa_scent,attribute:pa_size,attribute_data:pa_size,attribute_default:pa_size,attribute:pa_solar-packages,attribute_data:pa_solar-packages,attribute_default:pa_solar-packages,attribute:pa_style,attribute_data:pa_style,attribute_default:pa_style
"MOGUL 5 20X10.5 5X120 74 +20 BTL-GRY",mogul-5-20x10-5-5x120-74-20-btl-gry,,9839,"MOGUL 5 20X10.5 5X120 74 +20 BTL-GRY
<ul>
 	<li>20X10.5</li>
 	<li>Offset: 20</li>
 	<li>Backspacing: 6.54</li>
 	<li>Centerbore: 74.1</li>
 	<li>Load Rating Metric: 680</li>
 	<li>Load Rating Standard: 1500</li>
 	<li>Lug Count: 5</li>
 	<li>Bolt Pattern: 5X120</li>
 	<li>Division: 10</li>
 	<li>Barrel Config: S</li>
 	<li>Finish: TWO TONED BATTLESHIP GRAY</li>
 	<li>Material: Flow Formed Aluminum</li>
 	<li>Chemical 1: Chromium (hexavalent compounds)</li>
 	<li>Chemical 2: Nickel (Metallic)</li>
 	<li>Chemical 3: Lead</li>
</ul>","MOGUL 5 20X10.5 5X120 74 +20 BTL-GRY",publish,,0,"2025-09-15 19:08:24",52,closed,AB039AX20055220,,,no,no,,431,,45.99,20,10.5,,,instock,no,no,12,no,none,,,,,,,'-1,'-1,,,"https://fuel1direct.com/wp-content/uploads/2025/09/ASANTI-ABL39-MOGUL-5-20X10-5-5LUG-ET20-TWO-TONE-BATTLESHIP-GRAY-A1-png-9.png ! alt :  ! title : ASANTI-ABL39-MOGUL-5-20X10-5-5LUG-ET20-TWO-TONE-BATTLESHIP-GRAY-A1-png ! desc :  ! caption : ",,https://fuel1direct.com/product/mogul-5-20x10-5-5x120-74-20-btl-gry/,,"Asanti Black",simple,,"Trucks: Lifts Kits, Wheel Packages & Customization > Wheel & Tire Packages - Truck > Wheels & Rims|Trucks: Lifts Kits, Wheel Packages & Customization > Wheel & Tire Packages - Truck|Trucks: Lifts Kits, Wheel Packages & Customization|Trucks: Lifts Kits, Wheel Packages & Customization > Wheel & Tire Packages - Truck > Wheels & Rims > 20X10.5",wheelpros_1,,,on,,"[4778,4666,4794,4663]","Florida, United States",28.944465,'-82.03363,1,,1,,27,1,,[],%excerpt%,,,,,1,,,,3956,,1,"%title% %sep% %sitename%",,,,off,41,3,3,5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOGUL 5 20X11 5X115 71 +22 BTL-GRY",mogul-5-20x11-5x115-71-22-btl-gry,,9841,"MOGUL 5 20X11 5X115 71 +22 BTL-GRY
<ul>
 	<li>20X11</li>
 	<li>Offset: 22</li>
 	<li>Backspacing: 6.87</li>
 	<li>Centerbore: 71.5</li>
 	<li>Load Rating Metric: 680</li>
 	<li>Load Rating Standard: 1500</li>
 	<li>Lug Count: 5</li>
 	<li>Bolt Pattern: 5X115</li>
 	<li>Division: 10</li>
 	<li>Barrel Config: S</li>
 	<li>Finish: TWO TONED BATTLESHIP GRAY</li>
 	<li>Material: Flow Formed Aluminum</li>
 	<li>Chemical 1: Chromium (hexavalent compounds)</li>
 	<li>Chemical 2: Nickel (Metallic)</li>
 	<li>Chemical 3: Lead</li>
</ul>","MOGUL 5 20X11 5X115 71 +22 BTL-GRY",publish,,0,"2025-09-15 19:08:24",52,closed,AB039AX20111522,,,no,no,,446,,47.99,20,11,,,instock,no,no,12,no,none,,,,,,,'-1,'-1,,,"https://fuel1direct.com/wp-content/uploads/2025/09/ASANTI-ABL39-MOGUL-5-20X10-5-5LUG-ET20-TWO-TONE-BATTLESHIP-GRAY-A1-png-10.png ! alt :  ! title : ASANTI-ABL39-MOGUL-5-20X10-5-5LUG-ET20-TWO-TONE-BATTLESHIP-GRAY-A1-png ! desc :  ! caption : ",,https://fuel1direct.com/product/mogul-5-20x11-5x115-71-22-btl-gry/,,"Asanti Black",simple,,"Trucks: Lifts Kits, Wheel Packages & Customization > Wheel & Tire Packages - Truck > Wheels & Rims|Trucks: Lifts Kits, Wheel Packages & Customization > Wheel & Tire Packages - Truck|Trucks: Lifts Kits, Wheel Packages & Customization|Trucks: Lifts Kits, Wheel Packages & Customization > Wheel & Tire Packages - Truck > Wheels & Rims > 20X11",wheelpros_1,,,on,,"[4778,4666,4795,4663]","Florida, United States",28.944465,'-82.03363,1,,1,,38,1,,[],%excerpt%,,,,,1,,,,3956,,1,"%title% %sep% %sitename%",,,,off,38,2,2,4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOGUL 5 20X12 5X115 71 +6 BTL-GRY",mogul-5-20x12-5x115-71-6-btl-gry,,9843,"MOGUL 5 20X12 5X115 71 +6 BTL-GRY
<ul>
 	<li>20X12</li>
 	<li>Offset: 6</li>
 	<li>Backspacing: 6.74</li>
 	<li>Centerbore: 71.5</li>
 	<li>Load Rating Metric: 680</li>
 	<li>Load Rating Standard: 1500</li>
 	<li>Lug Count: 5</li>
 	<li>Bolt Pattern: 5X115</li>
 	<li>Division: 10</li>
 	<li>Barrel Config: S</li>
 	<li>Finish: TWO TONED BATTLESHIP GRAY</li>
 	<li>Material: Flow Formed Aluminum</li>
 	<li>Chemical 1: Chromium (hexavalent compounds)</li>
 	<li>Chemical 2: Nickel (Metallic)</li>
 	<li>Chemical 3: Lead</li>
</ul>","MOGUL 5 20X12 5X115 71 +6 BTL-GRY",publish,,0,"2025-09-15 19:08:24",52,closed,AB039AX20121506,,,no,no,,466,,50.99,20,12,,,instock,no,no,12,no,none,,,,,,,'-1,'-1,,,"https://fuel1direct.com/wp-content/uploads/2025/09/ASANTI-ABL39-MOGUL-5-20X10-5-5LUG-ET20-TWO-TONE-BATTLESHIP-GRAY-A1-png-11.png ! alt :  ! title : ASANTI-ABL39-MOGUL-5-20X10-5-5LUG-ET20-TWO-TONE-BATTLESHIP-GRAY-A1-png ! desc :  ! caption : ",,https://fuel1direct.com/product/mogul-5-20x12-5x115-71-6-btl-gry/,,"Asanti Black",simple,,"Trucks: Lifts Kits, Wheel Packages & Customization > Wheel & Tire Packages - Truck > Wheels & Rims|Trucks: Lifts Kits, Wheel Packages & Customization > Wheel & Tire Packages - Truck|Trucks: Lifts Kits, Wheel Packages & Customization|Trucks: Lifts Kits, Wheel Packages & Customization > Wheel & Tire Packages - Truck > Wheels & Rims > 20X12",wheelpros_1,,,on,,"[4778,4797,4666,4663]","Florida, United States",28.944465,'-82.03363,1,,1,,29,1,,[],%excerpt%,,,,,1,,,,3956,,1,"%title% %sep% %sitename%",,,,off,37,3,3,3,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOGUL 5 20X8.5 5X120 74 +20 BTL-GRY",mogul-5-20x8-5-5x120-74-20-btl-gry,,9845,"MOGUL 5 20X8.5 5X120 74 +20 BTL-GRY
<ul>
 	<li>20X8.5</li>
 	<li>Offset: 20</li>
 	<li>Backspacing: 5.54</li>
 	<li>Centerbore: 74.1</li>
 	<li>Load Rating Metric: 680</li>
 	<li>Load Rating Standard: 1500</li>
 	<li>Lug Count: 5</li>
 	<li>Bolt Pattern: 5X120</li>
 	<li>Division: 10</li>
 	<li>Barrel Config: S</li>
 	<li>Finish: TWO TONED BATTLESHIP GRAY</li>
 	<li>Material: Flow Formed Aluminum</li>
 	<li>Chemical 1: Chromium (hexavalent compounds)</li>
 	<li>Chemical 2: Nickel (Metallic)</li>
 	<li>Chemical 3: Lead</li>
</ul>","MOGUL 5 20X8.5 5X120 74 +20 BTL-GRY",publish,,0,"2025-09-15 19:08:24",52,closed,AB039AX20855220,,,no,no,,395,,37.99,20,8.5,,,instock,no,no,12,no,none,,,,,,,'-1,'-1,,,"https://fuel1direct.com/wp-content/uploads/2025/09/ASANTI-ABL39-MOGUL-5-20X10-5-5LUG-ET20-TWO-TONE-BATTLESHIP-GRAY-A1-png-12.png ! alt :  ! title : ASANTI-ABL39-MOGUL-5-20X10-5-5LUG-ET20-TWO-TONE-BATTLESHIP-GRAY-A1-png ! desc :  ! caption : ",,https://fuel1direct.com/product/mogul-5-20x8-5-5x120-74-20-btl-gry/,,"Asanti Black",simple,,"Trucks: Lifts Kits, Wheel Packages & Customization > Wheel & Tire Packages - Truck > Wheels & Rims|Trucks: Lifts Kits, Wheel Packages & Customization > Wheel & Tire Packages - Truck|Trucks: Lifts Kits, Wheel Packages & Customization|Trucks: Lifts Kits, Wheel Packages & Customization > Wheel & Tire Packages - Truck > Wheels & Rims > 20X8.5",wheelpros_1,,,on,,"[4778,4798,4666,4663]","Florida, United States",28.944465,'-82.03363,1,,1,,23,1,,[],%excerpt%,,,,,1,,,,3956,,1,"%title% %sep% %sitename%",,,,off,35,3,3,3,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOGUL 5 20X9.5 5X115 71 +15 BTL-GRY",mogul-5-20x9-5-5x115-71-15-btl-gry,,9847,"MOGUL 5 20X9.5 5X115 71 +15 BTL-GRY
<ul>
 	<li>20X9.5</li>
 	<li>Offset: 15</li>
 	<li>Backspacing: 5.84</li>
 	<li>Centerbore: 71.5</li>
 	<li>Load Rating Metric: 680</li>
 	<li>Load Rating Standard: 1500</li>
 	<li>Lug Count: 5</li>
 	<li>Bolt Pattern: 5X115</li>
 	<li>Division: 10</li>
 	<li>Barrel Config: S</li>
 	<li>Finish: TWO TONED BATTLESHIP GRAY</li>
 	<li>Material: Flow Formed Aluminum</li>
 	<li>Chemical 1: Chromium (hexavalent compounds)</li>
 	<li>Chemical 2: Nickel (Metallic)</li>
 	<li>Chemical 3: Lead</li>
</ul>","MOGUL 5 20X9.5 5X115 71 +15 BTL-GRY",publish,,0,"2025-09-15 19:08:24",52,closed,AB039AX20951515,,,no,no,,414,,41.99,20,9.5,,,instock,no,no,12,no,none,,,,,,,'-1,'-1,,,"https://fuel1direct.com/wp-content/uploads/2025/09/ASANTI-ABL39-MOGUL-5-20X10-5-5LUG-ET20-TWO-TONE-BATTLESHIP-GRAY-A1-png-14.png ! alt :  ! title : ASANTI-ABL39-MOGUL-5-20X10-5-5LUG-ET20-TWO-TONE-BATTLESHIP-GRAY-A1-png ! desc :  ! caption : ",,https://fuel1direct.com/product/mogul-5-20x9-5-5x115-71-15-btl-gry/,,"Asanti Black",simple,,"Trucks: Lifts Kits, Wheel Packages & Customization > Wheel & Tire Packages - Truck > Wheels & Rims|Trucks: Lifts Kits, Wheel Packages & Customization > Wheel & Tire Packages - Truck|Trucks: Lifts Kits, Wheel Packages & Customization|Trucks: Lifts Kits, Wheel Packages & Customization > Wheel & Tire Packages - Truck > Wheels & Rims > 20X9.5",wheelpros_1,,,on,,"[4778,4799,4666,4663]","Florida, United States",28.944465,'-82.03363,1,,1,,36,1,,[],%excerpt%,,,,,1,,,,3956,,1,"%title% %sep% %sitename%",,,,off,38,1,4,6,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOGUL 5 20X10.5 5X4.5 72 +40 S-BLK",mogul-5-20x10-5-5x4-5-72-40-s-blk,,9849,"MOGUL 5 20X10.5 5X4.5 72 +40 S-BLK
<ul>
 	<li>20X10.5</li>
 	<li>Offset: 40</li>
 	<li>Backspacing: 7.32</li>
 	<li>Centerbore: 72.56</li>
 	<li>Load Rating Metric: 725</li>
 	<li>Load Rating Standard: 1600</li>
 	<li>Lug Count: 5</li>
 	<li>Bolt Pattern: 5X114.3</li>
 	<li>Division: 10</li>
 	<li>Barrel Config: S</li>
 	<li>Finish: SATIN BLACK</li>
 	<li>Material: Flow Formed Aluminum</li>
 	<li>Chemical 1: Chromium (hexavalent compounds)</li>
 	<li>Chemical 2: Nickel (Metallic)</li>
 	<li>Chemical 3: Lead</li>
</ul>","MOGUL 5 20X10.5 5X4.5 72 +40 S-BLK",publish,,0,"2025-09-15 19:12:57",52,closed,AB039MX20051240,,,no,no,,532,,33.88,20,10.5,,,instock,no,no,12,no,none,,,,,,,'-1,'-1,,,"https://fuel1direct.com/wp-content/uploads/2025/09/ASANTI-ABL39-MOGUL-5-20X12-5LUG-ET6-SATIN-BLK-A1-png-2.png ! alt :  ! title : ASANTI-ABL39-MOGUL-5-20X12-5LUG-ET6-SATIN-BLK-A1-png ! desc :  ! caption :  | https://fuel1direct.com/wp-content/uploads/2025/09/ASANTI-ABL39-MOGUL-5-20X12-5LUG-ET6-SATIN-BLK-A1-png-3.png ! alt :  ! title : ASANTI-ABL39-MOGUL-5-20X12-5LUG-ET6-SATIN-BLK-A1-png ! desc :  ! caption : ",,https://fuel1direct.com/product/mogul-5-20x10-5-5x4-5-72-40-s-blk/,,"Asanti Black",simple,,"Trucks: Lifts Kits, Wheel Packages & Customization > Wheel & Tire Packages - Truck > Wheels & Rims|Trucks: Lifts Kits, Wheel Packages & Customization > Wheel & Tire Packages - Truck|Trucks: Lifts Kits, Wheel Packages & Customization|Trucks: Lifts Kits, Wheel Packages & Customization > Wheel & Tire Packages - Truck > Wheels & Rims > 20X10.5",wheelpros_1,,,on,,"[4778,4666,4794,4663]","Florida, United States",28.944465,'-82.03363,1,,1,,30,1,,[],%excerpt%,,,,,1,,,,3956,,1,"%title% %sep% %sitename%",,,,off,38,4,4,5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOGUL 5 20X10.5 5X120 72 +38 S-BLK",mogul-5-20x10-5-5x120-72-38-s-blk,,9853,"MOGUL 5 20X10.5 5X120 72 +38 S-BLK
<ul>
 	<li>20X10.5</li>
 	<li>Offset: 38</li>
 	<li>Backspacing: 7.25</li>
 	<li>Centerbore: 72.56</li>
 	<li>Load Rating Metric: 725</li>
 	<li>Load Rating Standard: 1600</li>
 	<li>Lug Count: 5</li>
 	<li>Bolt Pattern: 5X120</li>
 	<li>Division: 10</li>
 	<li>Barrel Config: S</li>
 	<li>Finish: SATIN BLACK</li>
 	<li>Material: Flow Formed Aluminum</li>
 	<li>Chemical 1: Chromium (hexavalent compounds)</li>
 	<li>Chemical 2: Nickel (Metallic)</li>
 	<li>Chemical 3: Lead</li>
</ul>","MOGUL 5 20X10.5 5X120 72 +38 S-BLK",publish,,0,"2025-09-15 19:12:57",52,closed,AB039MX20054938,,,no,no,,532,,33.88,20,10.5,,,instock,no,no,12,no,none,,,,,,,'-1,'-1,,,"https://fuel1direct.com/wp-content/uploads/2025/09/ASANTI-ABL39-MOGUL-5-20X12-5LUG-ET6-SATIN-BLK-A1-png-4.png ! alt :  ! title : ASANTI-ABL39-MOGUL-5-20X12-5LUG-ET6-SATIN-BLK-A1-png ! desc :  ! caption :  | https://fuel1direct.com/wp-content/uploads/2025/09/ASANTI-ABL39-MOGUL-5-20X12-5LUG-ET6-SATIN-BLK-A1-png-5.png ! alt :  ! title : ASANTI-ABL39-MOGUL-5-20X12-5LUG-ET6-SATIN-BLK-A1-png ! desc :  ! caption : ",,https://fuel1direct.com/product/mogul-5-20x10-5-5x120-72-38-s-blk/,,"Asanti Black",simple,,"Trucks: Lifts Kits, Wheel Packages & Customization > Wheel & Tire Packages - Truck > Wheels & Rims|Trucks: Lifts Kits, Wheel Packages & Customization > Wheel & Tire Packages - Truck|Trucks: Lifts Kits, Wheel Packages & Customization|Trucks: Lifts Kits, Wheel Packages & Customization > Wheel & Tire Packages - Truck > Wheels & Rims > 20X10.5",wheelpros_1,,,on,,"[4778,4666,4794,4663]","Florida, United States",28.944465,'-82.03363,1,,1,,30,1,,[],%excerpt%,,,,,1,,,,3956,,1,"%title% %sep% %sitename%",,,,off,42,1,3,5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOGUL 5 20X10.5 5X120 74 +20 S-BLK",mogul-5-20x10-5-5x120-74-20-s-blk,,9856,"MOGUL 5 20X10.5 5X120 74 +20 S-BLK
<ul>
 	<li>20X10.5</li>
 	<li>Offset: 20</li>
 	<li>Backspacing: 6.54</li>
 	<li>Centerbore: 74.1</li>
 	<li>Load Rating Metric: 680</li>
 	<li>Load Rating Standard: 1500</li>
 	<li>Lug Count: 5</li>
 	<li>Bolt Pattern: 5X120</li>
 	<li>Division: 10</li>
 	<li>Barrel Config: S</li>
 	<li>Finish: SATIN BLACK</li>
 	<li>Material: Flow Formed Aluminum</li>
 	<li>Chemical 1: Chromium (hexavalent compounds)</li>
 	<li>Chemical 2: Nickel (Metallic)</li>
 	<li>Chemical 3: Lead</li>
</ul>","MOGUL 5 20X10.5 5X120 74 +20 S-BLK",publish,,0,"2025-09-15 19:12:57",52,closed,AB039MX20055220,,,no,no,,532,,45.99,20,10.5,,,instock,no,no,12,no,none,,,,,,,'-1,'-1,,,"https://fuel1direct.com/wp-content/uploads/2025/09/ASANTI-ABL39-MOGUL-5-20X12-5LUG-ET6-SATIN-BLK-A1-png-6.png ! alt :  ! title : ASANTI-ABL39-MOGUL-5-20X12-5LUG-ET6-SATIN-BLK-A1-png ! desc :  ! caption :  | https://fuel1direct.com/wp-content/uploads/2025/09/ASANTI-ABL39-MOGUL-5-20X12-5LUG-ET6-SATIN-BLK-A1-png-7.png ! alt :  ! title : ASANTI-ABL39-MOGUL-5-20X12-5LUG-ET6-SATIN-BLK-A1-png ! desc :  ! caption : ",,https://fuel1direct.com/product/mogul-5-20x10-5-5x120-74-20-s-blk/,,"Asanti Black",simple,,"Trucks: Lifts Kits, Wheel Packages & Customization > Wheel & Tire Packages - Truck > Wheels & Rims|Trucks: Lifts Kits, Wheel Packages & Customization > Wheel & Tire Packages - Truck|Trucks: Lifts Kits, Wheel Packages & Customization|Trucks: Lifts Kits, Wheel Packages & Customization > Wheel & Tire Packages - Truck > Wheels & Rims > 20X10.5",wheelpros_1,,,on,,"[4778,4666,4794,4663]","Florida, United States",28.944465,'-82.03363,1,,1,,50,1,,[],%excerpt%,,,,,1,,,,3956,,1,"%title% %sep% %sitename%",,,,off,48,1,4,4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOGUL 5 20X10.5 5X112 66 +38 S-BLK",mogul-5-20x10-5-5x112-66-38-s-blk,,9859,"MOGUL 5 20X10.5 5X112 66 +38 S-BLK
<ul>
 	<li>20X10.5</li>
 	<li>Offset: 38</li>
 	<li>Backspacing: 7.25</li>
 	<li>Centerbore: 66.56</li>
 	<li>Load Rating Metric: 725</li>
 	<li>Load Rating Standard: 1600</li>
 	<li>Lug Count: 5</li>
 	<li>Bolt Pattern: 5X112</li>
 	<li>Division: 10</li>
 	<li>Barrel Config: S</li>
 	<li>Finish: SATIN BLACK</li>
 	<li>Material: Flow Formed Aluminum</li>
 	<li>Chemical 1: Chromium (hexavalent compounds)</li>
 	<li>Chemical 2: Nickel (Metallic)</li>
 	<li>Chemical 3: Lead</li>
</ul>","MOGUL 5 20X10.5 5X112 66 +38 S-BLK",publish,,0,"2025-09-15 19:12:57",52,closed,AB039MX20055738,,,no,no,,532,,34.1,20,10.5,,,instock,no,no,12,no,none,,,,,,,'-1,'-1,,,"https://fuel1direct.com/wp-content/uploads/2025/09/ASANTI-ABL39-MOGUL-5-20X12-5LUG-ET6-SATIN-BLK-A1-png-8.png ! alt :  ! title : ASANTI-ABL39-MOGUL-5-20X12-5LUG-ET6-SATIN-BLK-A1-png ! desc :  ! caption :  | https://fuel1direct.com/wp-content/uploads/2025/09/ASANTI-ABL39-MOGUL-5-20X12-5LUG-ET6-SATIN-BLK-A1-png-9.png ! alt :  ! title : ASANTI-ABL39-MOGUL-5-20X12-5LUG-ET6-SATIN-BLK-A1-png ! desc :  ! caption : ",,https://fuel1direct.com/product/mogul-5-20x10-5-5x112-66-38-s-blk/,,"Asanti Black",simple,,"Trucks: Lifts Kits, Wheel Packages & Customization > Wheel & Tire Packages - Truck > Wheels & Rims|Trucks: Lifts Kits, Wheel Packages & Customization > Wheel & Tire Packages - Truck|Trucks: Lifts Kits, Wheel Packages & Customization|Trucks: Lifts Kits, Wheel Packages & Customization > Wheel & Tire Packages - Truck > Wheels & Rims > 20X10.5",wheelpros_1,,,on,,"[4778,4666,4794,4663]","Florida, United States",28.944465,'-82.03363,1,,1,,42,1,,[],%excerpt%,,,,,1,,,,3956,,1,"%title% %sep% %sitename%",,,,off,43,2,2,4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOGUL 5 20X11 5X115 71 -6 S-BLK",mogul-5-20x11-5x115-71-6-s-blk,,9862,"MOGUL 5 20X11 5X115 71 -6 S-BLK
<ul>
 	<li>20X11</li>
 	<li>Offset: -6</li>
 	<li>Backspacing: 5.76</li>
 	<li>Centerbore: 71.5</li>
 	<li>Load Rating Metric: 680</li>
 	<li>Load Rating Standard: 1500</li>
 	<li>Lug Count: 5</li>
 	<li>Bolt Pattern: 5X115</li>
 	<li>Division: 10</li>
 	<li>Barrel Config: S</li>
 	<li>Finish: SATIN BLACK</li>
 	<li>Material: Flow Formed Aluminum</li>
 	<li>Chemical 1: Chromium (hexavalent compounds)</li>
 	<li>Chemical 2: Nickel (Metallic)</li>
 	<li>Chemical 3: Lead</li>
</ul>","MOGUL 5 20X11 5X115 71 -6 S-BLK",publish,,0,"2025-09-15 19:12:57",52,closed,AB039MX20111506N,,,no,no,,545,,47.99,20,11,,,instock,no,no,12,no,none,,,,,,,'-1,'-1,,,"https://fuel1direct.com/wp-content/uploads/2025/09/ASANTI-ABL39-MOGUL-5-20X12-5LUG-ET6-SATIN-BLK-A1-png-10.png ! alt :  ! title : ASANTI-ABL39-MOGUL-5-20X12-5LUG-ET6-SATIN-BLK-A1-png ! desc :  ! caption :  | https://fuel1direct.com/wp-content/uploads/2025/09/ASANTI-ABL39-MOGUL-5-20X12-5LUG-ET6-SATIN-BLK-A1-png-11.png ! alt :  ! title : ASANTI-ABL39-MOGUL-5-20X12-5LUG-ET6-SATIN-BLK-A1-png ! desc :  ! caption : ",,https://fuel1direct.com/product/mogul-5-20x11-5x115-71-6-s-blk/,,"Asanti Black",simple,,"Trucks: Lifts Kits, Wheel Packages & Customization > Wheel & Tire Packages - Truck > Wheels & Rims|Trucks: Lifts Kits, Wheel Packages & Customization > Wheel & Tire Packages - Truck|Trucks: Lifts Kits, Wheel Packages & Customization|Trucks: Lifts Kits, Wheel Packages & Customization > Wheel & Tire Packages - Truck > Wheels & Rims > 20X11",wheelpros_1,,,on,,"[4778,4666,4795,4663]","Florida, United States",28.944465,'-82.03363,1,,1,,33,1,,[],%excerpt%,,,,,1,,,,3956,,1,"%title% %sep% %sitename%",,,,off,37,3,7,7,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
