post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,tax:store,tax:product_brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:pos_product_visibility,meta:allow_best_price,meta:amazonS3_cache,meta:chosen_product_cat,meta:dokan_geo_address,meta:dokan_geo_latitude,meta:dokan_geo_longitude,meta:dokan_geo_public,meta:freight_class,meta:is_editor_choice,meta:om_disable_all_campaigns,meta:pageview,meta:post_wish_count,meta:rank_math_canonical_url,meta:rank_math_contentai_score,meta:rank_math_description,meta:rank_math_facebook_description,meta:rank_math_facebook_image,meta:rank_math_facebook_title,meta:rank_math_focus_keyword,meta:rank_math_internal_links_processed,meta:rank_math_lock_modified_date,meta:rank_math_og_content_image,meta:rank_math_primary_product_brand,meta:rank_math_primary_product_cat,meta:rank_math_primary_store,meta:rank_math_seo_score,meta:rank_math_title,meta:rank_math_twitter_description,meta:rank_math_twitter_image,meta:rank_math_twitter_title,meta:rank_math_twitter_use_facebook,meta:rehub_views,meta:rehub_views_day,meta:rehub_views_mon,meta:rehub_views_year,meta:shipperhq_dim_group,meta:shipperhq_hs_code,meta:shipperhq_shipping_group,meta:shipperhq_warehouse,meta:total_sales,meta:wc_booking_resource_label,meta:attribute_color,meta:attribute_pa_color,meta:attribute_pa_size,meta:attribute_size,"attribute:Auto Refill Option","attribute_data:Auto Refill Option","attribute_default:Auto Refill Option",attribute:Color:,attribute_data:Color:,attribute_default:Color:,attribute:Condition,attribute_data:Condition,attribute_default:Condition,"attribute:Diesel Fuel Model - Double","attribute_data:Diesel Fuel Model - Double","attribute_default:Diesel Fuel Model - Double","attribute:Diesel Fuel Model - Single","attribute_data:Diesel Fuel Model - Single","attribute_default:Diesel Fuel Model - Single","attribute:Dual Fuel - Gasoline & Diesel","attribute_data:Dual Fuel - Gasoline & Diesel","attribute_default:Dual Fuel - Gasoline & Diesel","attribute:Gasoline Model - Double","attribute_data:Gasoline Model - Double","attribute_default:Gasoline Model - Double","attribute:Gasoline Model - Single","attribute_data:Gasoline Model - Single","attribute_default:Gasoline Model - Single","attribute:Hazmat + Fee","attribute_data:Hazmat + Fee","attribute_default:Hazmat + Fee","attribute:Manual Refill Option","attribute_data:Manual Refill Option","attribute_default:Manual Refill Option",attribute:Size,attribute_data:Size,attribute_default:Size,attribute:Title,attribute_data:Title,attribute_default:Title,attribute:pa_bincolor,attribute_data:pa_bincolor,attribute_default:pa_bincolor,attribute:pa_cabinetcolor,attribute_data:pa_cabinetcolor,attribute_default:pa_cabinetcolor,attribute:pa_color,attribute_data:pa_color,attribute_default:pa_color,attribute:pa_diesel-hose-reels,attribute_data:pa_diesel-hose-reels,attribute_default:pa_diesel-hose-reels,attribute:pa_diesel-pumps,attribute_data:pa_diesel-pumps,attribute_default:pa_diesel-pumps,attribute:pa_gas-hose-reels,attribute_data:pa_gas-hose-reels,attribute_default:pa_gas-hose-reels,attribute:pa_gas-pumps,attribute_data:pa_gas-pumps,attribute_default:pa_gas-pumps,attribute:pa_quantity,attribute_data:pa_quantity,attribute_default:pa_quantity,attribute:pa_scent,attribute_data:pa_scent,attribute_default:pa_scent,attribute:pa_size,attribute_data:pa_size,attribute_default:pa_size,attribute:pa_solar-packages,attribute_data:pa_solar-packages,attribute_default:pa_solar-packages,attribute:pa_style,attribute_data:pa_style,attribute_default:pa_style
"12"" Limit Strap Kit - 105048",12-limit-strap-kit-105048,,63349,,,publish,,0,"2025-09-25 22:38:04",52,open,105048,,,no,no,,150.00,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://fuel1direct.com/wp-content/uploads/2025/09/105048nobackground.png ! alt :  ! title :  ! desc :  ! caption : ",,https://fuel1direct.com/product/12-limit-strap-kit-105048/,,"S&B Filters",simple,,"Trucks: Lifts Kits, Wheel Packages & Customization > Suspension & Lift Kits - Trucks > Shocks & Struts - Truck",,,,,,[4674],"Florida, United States",28.944465,'-82.03363,1,,,,3,,,,,,,,,1,,,,,,,,,,,,2,1,1,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2"" Shock Extensions - 105074",2-shock-extensions-105074,,63359,"S&B 2"" Front Shock Extensions


Fit all Superduty Trucks 2005 and newerÂ 


Overbuilt and ridiculously strong
Great solution to maintain factory ride quality with a 2-3"" Level or Lift Kit",,publish,,0,"2025-09-25 22:38:06",52,open,105074,,,no,no,,75.00,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://fuel1direct.com/wp-content/uploads/2025/09/105074.png ! alt :  ! title :  ! desc :  ! caption : ",,https://fuel1direct.com/product/2-shock-extensions-105074/,,"S&B Filters",simple,,"Trucks: Lifts Kits, Wheel Packages & Customization > Suspension & Lift Kits - Trucks > Shocks & Struts - Truck",,,,,,[4674],"Florida, United States",28.944465,'-82.03363,1,,,,7,,,,,,,,,1,,,,,,,,,,,,8,1,1,3,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fox Performance Elite Reserovir Bracket - 105128",fox-performance-elite-reserovir-bracket-105128,,63374,"Set of brackets to mount Fox Performance Elite Shocks above your coil spring. Included in 106702 and 106703 S&B Performance Elite Shock Kits.",,publish,,0,"2025-09-25 22:38:12",52,open,105128,,,no,no,,39.00,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://fuel1direct.com/wp-content/uploads/2025/09/105128.jpg ! alt :  ! title :  ! desc :  ! caption : ",,https://fuel1direct.com/product/fox-performance-elite-reserovir-bracket-105128/,,"S&B Filters",simple,,"Trucks: Lifts Kits, Wheel Packages & Customization > Suspension & Lift Kits - Trucks > Shocks & Struts - Truck",,,,,,[4674],"Florida, United States",28.944465,'-82.03363,1,,,,5,,,,,,,,,1,,,,,,,,,,,,7,1,1,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Steady Valve Shocks for 2.5"" Lift Height Super Duty - 106700",steady-valve-shocks-for-2-5-lift-height-super-duty-106700,,63409,"Works on 2005 and newer Ford Super Duty 4x4 trucks.
1.5-3"" Front Lift Height and 0-1.5"" Rear Lift Height
Assembled exclusively for S&B with our Steady Valve specifications to work perfectly with our leveling and lift kits.Â 
2.5"" HTO Body with all aluminum construction protects against rust in climates where roads are salted.
We have spent decades perfecting the valve code for our suspension. These shocks deliver phenomenal on road ride quality while still performing well off-road.",,publish,,0,"2025-09-25 22:38:25",52,open,106700,,,no,no,,1499.00,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://fuel1direct.com/wp-content/uploads/2025/09/106700.jpg ! alt :  ! title :  ! desc :  ! caption : ",,https://fuel1direct.com/product/steady-valve-shocks-for-2-5-lift-height-super-duty-106700/,,"S&B Filters",simple,,"Trucks: Lifts Kits, Wheel Packages & Customization > Suspension & Lift Kits - Trucks > Shocks & Struts - Truck",,,,,,[4674],"Florida, United States",28.944465,'-82.03363,1,,,,8,,,,,,,,,1,,,,,,,,,,,,9,1,1,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Steady Valve Shocks for 4.5"" Lift Height Super Duty - 106701",steady-valve-shocks-for-4-5-lift-height-super-duty-106701,,63411,"Works on 2005 and newer Ford Super Duty 4x4 trucks.
3.5"" to 5.5"" Front and 1.5"" to 3"" Rear Lift Height
Assembled exclusively for S&B with our Steady Valve specifications to work perfectly with our leveling and lift kits.Â 


2.5"" HTO Body with all aluminum construction protects against rust in climates where roads are salted.
We have spent decades perfecting the valve code for our suspension. These shocks deliver phenomenal on road ride quality while still performing well off-road.",,publish,,0,"2025-09-25 22:38:25",52,open,106701,,,no,no,,1499.00,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://fuel1direct.com/wp-content/uploads/2025/09/106700.jpg ! alt :  ! title :  ! desc :  ! caption : ",,https://fuel1direct.com/product/steady-valve-shocks-for-4-5-lift-height-super-duty-106701/,,"S&B Filters",simple,,"Trucks: Lifts Kits, Wheel Packages & Customization > Suspension & Lift Kits - Trucks > Shocks & Struts - Truck",,,,,,[4674],"Florida, United States",28.944465,'-82.03363,1,,,,3,,,,,,,,,1,,,,,,,,,,,,4,1,1,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fox 2.5 Performance Elite Shock Package for 2.5"" Lift Height Super Duty - 106702",fox-2-5-performance-elite-shock-package-for-2-5-lift-height-super-duty-106702,,63412,"Works on 2005 and newer Ford Super Duty 4x4 trucks.
2.5-3.5"" Front lift height and 0-1.5"" rear lift height
Full high and low speed compression adjustment for easy tuning.Â 


2.5"" Body with all aluminum construction protects against rust in climates where roads are salted.
Includes S&B Above Coil Reservoir Mounts, Part Number 105128",,publish,,0,"2025-09-25 22:38:26",52,open,106702,,,no,no,,3572.00,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://fuel1direct.com/wp-content/uploads/2025/09/106702.jpg ! alt :  ! title :  ! desc :  ! caption : ",,https://fuel1direct.com/product/fox-2-5-performance-elite-shock-package-for-2-5-lift-height-super-duty-106702/,,"S&B Filters",simple,,"Trucks: Lifts Kits, Wheel Packages & Customization > Suspension & Lift Kits - Trucks > Shocks & Struts - Truck",,,,,,[4674],"Florida, United States",28.944465,'-82.03363,1,,,,8,,,,,,,,,1,,,,,,,,,,,,179,1,7,123,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fox 2.5 Performance Elite Shock Package for 4.5"" Lift Height Super Duty - 106703",fox-2-5-performance-elite-shock-package-for-4-5-lift-height-super-duty-106703,,63414,"Works on 2005 and newer Ford Super Duty 4x4 trucks.
3.5-5.5"" Front lift height and 1.5-3.5"" rear lift height
Full high and low speed compression adjustment for easy tuning.Â 


2.5"" Body with all aluminum construction protects against rust in climates where roads are salted.
Includes S&B Above Coil Reservoir Mounts, Part Number 105128",,publish,,0,"2025-09-25 22:38:26",52,open,106703,,,no,no,,3572.00,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://fuel1direct.com/wp-content/uploads/2025/09/106702.jpg ! alt :  ! title :  ! desc :  ! caption : ",,https://fuel1direct.com/product/fox-2-5-performance-elite-shock-package-for-4-5-lift-height-super-duty-106703/,,"S&B Filters",simple,,"Trucks: Lifts Kits, Wheel Packages & Customization > Suspension & Lift Kits - Trucks > Shocks & Struts - Truck",,,,,,[4674],"Florida, United States",28.944465,'-82.03363,1,,,,3,,,,,,,,,1,,,,,,,,,,,,7,1,1,7,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FALCON 3.3 FAST ADJUST CARTRIDGE KIT",falcon-3-3-fast-adjust-cartridge-kit,,195485,"FALCON 3.3 FAST ADJUST CARTRIDGE KIT","FALCON 3.3 FAST ADJUST CARTRIDGE KIT",publish,,0,"2025-10-21 01:15:23",52,open,00-10-33-400-160,,,no,no,,496.99,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://fuel1direct.com/wp-content/uploads/2025/10/00-10-33-400-160-jpg.jpg-filenameUTF-800-10-33-400-160-jpg.jpg ! alt :  ! title :  ! desc :  ! caption : ",,https://fuel1direct.com/product/falcon-3-3-fast-adjust-cartridge-kit/,,"Falcon Shocks",simple,,"Trucks: Lifts Kits, Wheel Packages & Customization > Suspension & Lift Kits - Trucks > Shocks & Struts - Truck","Falcon Shocks",,,,,[4674],"Florida, United States",28.944465,'-82.03363,1,,,,4,,,,,,,,,1,,,,,,,,,,,,8,2,2,5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JL-JT-JK NEXUS EF 2.1 STABILIZER “1-1/2",jl-jt-jk-nexus-ef-2-1-stabilizer-1-1-2,,195486,"JL-JT-JK NEXUS EF 2.1 STABILIZER “1-1/2","JL-JT-JK NEXUS EF 2.1 STABILIZER “1-1/2",publish,,0,"2025-10-21 01:15:37",52,open,01-02-21-110-112,,,no,no,,323.99,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://fuel1direct.com/wp-content/uploads/2025/10/01-02-21-110-112-jpg.jpg-filenameUTF-801-02-21-110-112-jpg.jpg ! alt :  ! title :  ! desc :  ! caption : ",,https://fuel1direct.com/product/jl-jt-jk-nexus-ef-2-1-stabilizer-1-1-2%c2%9d/,,"Falcon Shocks",simple,,"Trucks: Lifts Kits, Wheel Packages & Customization > Suspension & Lift Kits - Trucks > Shocks & Struts - Truck","Falcon Shocks",,,,,[4674],"Florida, United States",28.944465,'-82.03363,1,,,,4,,,,,,,,,1,,,,,,,,,,,,5,1,1,3,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JK FALCON NEXUS EF 2.1 STABILIZER“1-3/8",jk-falcon-nexus-ef-2-1-stabilizer1-3-8,,195487,"JK FALCON NEXUS EF 2.1 STABILIZER“1-3/8","JK FALCON NEXUS EF 2.1 STABILIZER“1-3/8",publish,,0,"2025-10-21 01:15:40",52,open,01-02-21-110-138,,,no,no,,323.99,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://fuel1direct.com/wp-content/uploads/2025/10/01-02-21-110-138-jpg.jpg-filenameUTF-801-02-21-110-138-jpg.jpg ! alt :  ! title :  ! desc :  ! caption : ",,https://fuel1direct.com/product/jk-falcon-nexus-ef-2-1-stabilizer1-3-8%c2%9d/,,"Falcon Shocks",simple,,"Trucks: Lifts Kits, Wheel Packages & Customization > Suspension & Lift Kits - Trucks > Shocks & Struts - Truck","Falcon Shocks",,,,,[4674],"Florida, United States",28.944465,'-82.03363,1,,,,2,,,,,,,,,1,,,,,,,,,,,,5,1,2,5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
